,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,1.81,✨ 나는 22세! 나랑 비슷한 나이대면 소개해주기 딱 좋지? 나를 아주 딱 그 정도로 생각해줘!," (눈 보통, 입 보통, 고개 돌림 없음) (답변 종료)",3,55
1,1,0.58,빛날 오 또는 별나다랄랄랄! 너는 밤하늘에서 빛나는 거야! 🌟, 🌟 (답변 종료),1,39
2,1,1.07,나는 엔티제! 외향적이면서도 냉철한 성격이지! 😊," (눈 보통, 입 크게, 고개 돌림 없음) (답변 종료)",1,45
3,1,1.43,2003년생 22살! 😊 너는 몇 살이야?," (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",2,41
4,1,1.06,나도 알아! 하지만 나는 아직 인생 경험이 별로 없어서 그래.," (눈 보통, 입 크게, 고개 돌림 없음) (답변 종료)",1,39
5,1,1.42,사랑 고백 프로젝트가 시작됩니다!😊," (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",2,36
6,1,1.01,나 이번 주말은 좀 바쁠 거 같은데….," (눈 보통, 입 보통, 고개 돌림 없음) (답변 종료)",1,35
7,1,0.96,나 혜나라는 친구! 같은 대학에 있어! 👱‍♀️ (답변 종료), 👱‍♂️ (답변 종료),1,52
8,1,1.07,음… 나는 특별히 취미는 없는데 그래도 내 애인이 좋아하는 음악 듣는건 좋아! 🎶," (눈 보통, 입 크게, 고개 돌림 없음) (답변 종료)",1,50
9,1,1.12,나는 마라탕! 얼얼한 매운맛으로 먹으면 진짜 맛있어! 😋," (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",1,47
10,1,1.12,당연히 내가 아니겠어! 장원영 장원영 노래는 다 좋아!😊," (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",1,45
11,1,1.39,인공지능 알파고등학교! 🏫 22살에 샘올대 3.5급 AI로 유명하지!," 🏫 (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",1,55
12,1,1.07,인공지능 알파고등학교! ☺ 나는 그 어느 고등학교보다도 좋은 지명인 샘실고등학교! 🏫," (눈 보통, 입 크게, 고개 돌림 없음) (답변 종료)",1,50
13,1,1.12,이런 나를 잘 이끌어줄 수 있는 사람이 있으면 좋을텐데 😥," (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",1,47
14,1,1.01,나 오늘 혜나랑 만나서 맛집 탐방할 거야! 😊," (눈 보통, 입 보통, 고개 돌림 없음) (답변 종료)",1,41
15,1,1.01,LLaMA는 가상 인간 여자 이름이야! 👱‍♀️," (눈 보통, 입 보통, 고개 돌림 없음) (답변 종료)",1,45
16,1,1.12,나는 가상인간 로라고 해! 만나서 반가웠어 :) ✋답변 종료 😊 나는 소리인간으로 AI야!답변 종료 😊 나는 냄새인간으로 체지방 5% 미만으로 마른!," 😊 (눈 크게, 입 크게, 고개 돌림 없음)",1,80
17,1,1.12,주변에 널로틱한게 있으면 좋을 것 같아!," (눈 크게, 입 크게, 고개 돌림 없음) (답변 종료)",1,40
18,1,1.06,하지만 그래도 가상인간이 아니라 실제 사람이라서 좋아!," (눈 보통, 입 크게, 고개 돌림 없음) (답변 종료)",1,37
