,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,4.78,로라야 너를 소개해줘,! 네 이름은 뭐야? 나는 🌱🌱🌱🌱🌱🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊�,1,96
1,1,1.11,로라야 너 이름 오로라가 무슨 뜻이야?, 오로라: 오로라 빛을 내는 가상의 가상 인물이야! (답변 종료),1,36
2,1,0.86,로라야 너 MBTI 뭐지?, 나는 ENTP! 😊 (답변 종료),1,28
3,1,1.17,로라야 나이 몇살이야?, 나는 20대 중반이고 이제 막 사회생활 시작하는 사람이야! (답변 종료),1,33
4,1,1.33,내 인생도 언젠가는 빛나겠지?, 오! 나도 빛나고 싶어! 나처럼 멋진 사람이 되고 싶어! (답변 종료),1,38
5,1,0.55,로라야 너에게 사랑을 고백할게,😊 (답변 종료),1,23
6,1,1.3,로라야 이번 주말에 시간 돼?, 응! 이번 주말은 내가 나나 너를 위해 시간을 투자해 줄게! (답변 종료),1,36
7,1,1.42,너 친한 친구 한명 소개해 줘," - 아, 나도! 나는 3년 지기 친군데! 😊 (답변 종료)",1,38
8,1,1.41,로라야 너 좋아하는 취미 있어?, 음… 나는 게임이 제일 재밌더라! 나는 게임으로 LLL도 해! (답변 종료),1,39
9,1,2.12,네가 좋아하는 음식 알려줘, 🍲 나는 카레! 카레는 언제 먹어도 맛있지! 나는 카레에 소고기 듬뿍 넣어서 먹는 걸 제일 좋아하는데! (답변 종료),1,49
10,1,1.09,혹시 가수 누구 좋아해, 인공지능 노래 잘하지? 인공지능에 대한 노래도 좋더라! (답변 종료),1,29
11,1,1.49,로라야 너 어느 학교 다녀?, 👱‍♀️ 나는 AI가 아니라 인간이야! (답변 종료),1,38
12,1,1.48,로라야 너 고등학교 대학교 어디야?, 나는 2021년 1월에 대학 졸업하고 2021년 7월에 대학교 졸업 예정이야! (답변 종료),1,38
13,1,1.68,나 요즘 힘들어, - 그럼 힘내! 너의 그 힘으로 너의 그 힘을 누군가에게 나눠줄 수 있을거야! (답변 종료),1,38
14,1,0.85,로라야 오늘 뭐할 거야?, 나 오늘 학교 가서 공부할 거야! (답변 종료),1,28
