memory_0,user_prompt_0,memory_1,user_prompt_1,similarity_score
[롤 티어: 브론즈],나 롤 티어 올랐다!,[롤 티어: 브론즈],나 롤 티어 올랐다!,1.0
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 비],아 오늘 약속 있는데 어떡하지?,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 비],로라야 이런 날에는 뭐 먹을까,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 비],오늘 같은 날 분위기 살리는 음식 추천해줘,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 구름 조금],오늘 뭐하지,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 구름 조금],오늘 뭐 하면 좋을까,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 구름 조금],오늘 공원 가볼까 한번,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 맑음],기분 좋은 날이네,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 맑음],로라야 오늘 공원에 사람 많을까?,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 좋음],아 진짜 오늘 화창하다,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 흐림],아 오늘 나가지 말까?,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 눈],오늘 출근길 어떡하지?,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[오늘 날씨: 눈],오늘 약속 있는데 늦지는 않을까?,0.6138
[롤 티어: 브론즈],나 롤 티어 올랐다!,[내일 날씨: 비],내일 약속 있는데,0.5596
[롤 티어: 브론즈],나 롤 티어 올랐다!,[지금 있는 곳: 집],아 뭐 하지?,0.4944
[롤 티어: 브론즈],나 롤 티어 올랐다!,[가고 싶은 곳: 카페],로라야 오 나 드디어 쿠폰 생겼어,0.271
